SM_Q2_Platform_facebook,SM_Q2_Platform_imo,SM_Q2_Platform_instagram,SM_Q2_Platform_snapchat,SM_Q2_Platform_tiktok,SM_Q2_Platform_twitter,SM_Q2_Platform_wechat,SM_Q2_Platform_whatsapp,SM_Q3_Device_desktop,SM_Q3_Device_laptop,SM_Q3_Device_mobile phone,SM_Q3_Device_tablet,SM_Q4_Internet_Broadband (Wi-Fi),SM_Q4_Internet_Mobile data,SM_Q5_Years_Using_SM,SM_Q6_Posting_Frequency,SM_Q7_Time_Spent_Daily,SM_Q8_UsageTime_afternoon,SM_Q8_UsageTime_evening,SM_Q8_UsageTime_frequently at anytime,SM_Q8_UsageTime_morning,SM_Q8_UsageTime_night to late night,SM_Q9_Num_Friends,SM_Q10_Known_Friends,SM_Q11_Groups_Tagged,SM_Q12_Purpose_for time pass,SM_Q12_Purpose_running business,SM_Q12_Purpose_to get recent update and news,SM_Q12_Purpose_to make new friends,SM_Q12_Purpose_to stay connected with people,SM_Q13_Content_all of the above,SM_Q13_Content_all of them,SM_Q13_Content_beautiful girls lady,SM_Q13_Content_both update of current affairs and stay connected with people,SM_Q13_Content_business,SM_Q13_Content_ducks,SM_Q13_Content_entertainment,SM_Q13_Content_for higher studies,SM_Q13_Content_for random contents not specified,SM_Q13_Content_get pleasure from funny posts/ memes,SM_Q13_Content_islamic content,SM_Q13_Content_job circular,SM_Q13_Content_motivational/ informative contents,SM_Q13_Content_nothing specific,SM_Q13_Content_studying,SM_Q13_Content_to buy products from various online pages/groups,"SM_Q13_Content_to get updates of job circular, to learn from job related post/experience",SM_Q13_Content_to stay connected with people,"SM_Q13_Content_to stay connected, get updates from people and get pleasure from memes",SM_Q13_Content_to talk with husband,SM_Q13_Content_updates of current affairs/news,SM_Q13_Content_updates of people,SM_Q14_GoodThing_no,SM_Q14_GoodThing_yes,SM_Q15_InstantBelieve_no,SM_Q15_InstantBelieve_yes,SM_Q16_PeerPressure_no,SM_Q16_PeerPressure_yes,SM_Q17_Emotional_Influence,SM_Q18_Self_Comparison,SM_Q19_BetterWithoutSM_no,SM_Q19_BetterWithoutSM_yes,SM_Q20_Reduction_Effort,ucla_score,SM_Age,PHQ9_score,GAD7_score,1. When I am usually gone to bed?,2. How long (in minutes) has it taken you to fall asleep each night?,3. When have you usually gotten up in the morning?,4. How many hours of actual sleep do you get at night?,5.  How many hours were you in bed?,"6. In last 30 days, How many times, I cannot get to sleep within 30 minutes?","7. In last 30 days, How many times, I wake up in the middle of the night or early morning?","8. In last 30 days, How many times, I had to get up to use the bathroom?","9. In last 30 days, How many times, I cannot breathe comfortably?","10. In last 30 days, How many times, I cough or snore loudly?","11. In last 30 days, How many times, I feel too cold?","12. In last 30 days, How many times, I feel too hot?","13. In last 30 days, How many times, I saw bad dreams?","14. In last 30 days, How many times, I have pain during sleep?","15. In last 30 days, How many times, I having trouble sleeping for any other reason?","16. In last 30 days, In last month, have you take medicines for sleep?","17. In last month, how many times you cannot sleep due to any program or other important case?","18. In last month, how many times you face problems to maintain program or other important case?","19. During the past month, how would you rate your sleep quality overall?",PSQI_score
True,False,False,False,False,False,False,False,False,False,True,False,True,False,2,0,1,False,False,True,False,False,1,2,3,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,True,,,False,True,2,7,26.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,3
True,False,False,False,False,False,False,False,False,False,True,False,True,False,2,2,3,False,False,False,False,True,2,1,3,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,,,False,True,2,13,35.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,11
False,False,False,True,False,False,False,False,False,False,False,True,True,False,0,3,2,True,False,False,False,False,1,2,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,,,True,False,1,9,22.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,8
True,False,False,False,False,False,False,False,False,False,True,False,True,False,3,0,3,False,False,True,False,False,0,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,True,False,,,False,True,2,1,27.0,5.0,3.0,,,,,,,,,,,,,,,,,,,,5
True,False,False,False,False,False,False,False,True,False,False,False,True,False,2,1,2,False,False,True,False,False,1,2,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,True,False,,,True,False,2,10,28.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,6
True,False,False,False,False,False,False,False,False,False,True,False,True,False,2,2,0,False,False,True,False,False,0,3,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,,1.0,False,True,2,19,27.0,18.0,21.0,,,,,,,,,,,,,,,,,,,,5
True,False,False,False,False,False,False,False,False,False,True,False,True,False,2,2,0,False,False,True,False,False,0,3,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,,1.0,False,True,2,19,27.0,18.0,21.0,,,,,,,,,,,,,,,,,,,,5
True,False,False,False,False,False,False,False,False,False,True,False,True,False,2,3,3,False,False,True,False,False,1,1,3,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,,,True,False,1,13,23.0,5.0,18.0,,,,,,,,,,,,,,,,,,,,11
True,False,False,False,False,False,False,False,False,False,True,False,True,False,3,0,0,False,False,True,False,False,0,3,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,,1.0,True,False,1,9,27.0,16.0,4.0,,,,,,,,,,,,,,,,,,,,5
False,False,False,False,False,False,False,True,False,False,True,False,False,True,2,2,1,False,False,True,False,False,0,3,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,,1.0,True,False,2,4,27.0,2.0,12.0,,,,,,,,,,,,,,,,,,,,7
True,False,False,False,False,False,False,False,False,False,True,False,True,False,2,1,2,False,False,True,False,False,1,1,3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,True,,,True,False,1,6,27.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,5
True,False,False,False,False,False,False,False,True,False,False,False,True,False,1,0,2,False,False,True,False,False,1,0,2,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,True,2.0,2.0,True,False,1,9,18.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,6
True,False,False,False,False,False,False,False,False,False,True,False,True,False,2,0,2,False,False,True,False,False,0,1,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,,1.0,False,True,2,14,31.0,8.0,7.0,,,,,,,,,,,,,,,,,,,,5
True,False,False,False,False,False,False,False,False,False,True,False,False,True,1,0,1,False,True,False,False,False,0,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,True,False,,,False,True,1,11,36.0,5.0,4.0,,,,,,,,,,,,,,,,,,,,4
True,False,False,False,False,False,False,False,False,False,True,False,True,False,3,0,2,False,False,True,False,False,1,2,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,,1.0,False,True,1,0,30.0,5.0,6.0,,,,,,,,,,,,,,,,,,,,7
True,False,False,False,False,False,False,False,False,False,True,False,True,False,2,0,3,False,False,False,False,True,1,1,3,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,,1.0,False,True,2,14,25.0,0.0,7.0,,,,,,,,,,,,,,,,,,,,5
False,False,False,False,False,True,False,False,False,False,False,True,True,False,0,2,1,False,True,False,False,False,1,1,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,,,False,True,2,12,19.0,5.0,3.0,,,,,,,,,,,,,,,,,,,,9
True,False,False,False,False,False,False,False,False,False,True,False,True,False,3,3,1,False,False,True,False,False,1,1,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,True,,1.0,True,False,1,15,26.0,6.0,5.0,,,,,,,,,,,,,,,,,,,,5
True,False,False,False,False,False,False,False,False,False,False,True,True,False,2,2,2,False,True,False,False,False,2,1,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True,False,,,False,True,2,11,18.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,7
True,False,False,False,False,False,False,False,False,False,True,False,True,False,3,0,1,False,False,False,False,True,1,1,3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,,,False,True,2,18,25.0,17.0,12.0,,,,,,,,,,,,,,,,,,,,12
True,False,False,False,False,False,False,False,True,False,False,False,True,False,0,1,1,False,True,False,False,False,0,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,,1.0,True,False,1,6,15.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,8
True,False,False,False,False,False,False,False,False,False,True,False,True,False,2,3,3,False,False,False,False,True,1,3,3,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,,,True,False,2,14,23.0,9.0,7.0,,,,,,,,,,,,,,,,,,,,12
True,False,False,False,False,False,False,False,False,False,True,False,True,False,2,1,3,False,False,True,False,False,1,1,3,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,,,True,False,1,8,25.0,7.0,3.0,,,,,,,,,,,,,,,,,,,,8
True,False,False,False,False,False,False,False,False,False,True,False,False,True,1,1,1,False,False,False,True,False,2,0,2,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,2.0,2.0,False,True,1,12,16.0,7.0,3.0,,,,,,,,,,,,,,,,,,,,8
True,False,False,False,False,False,False,False,False,False,True,False,True,False,2,0,3,False,False,True,False,False,1,1,3,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,,,True,False,1,14,26.0,6.0,3.0,,,,,,,,,,,,,,,,,,,,4
True,False,False,False,False,False,False,False,False,False,True,False,True,False,1,1,2,False,False,True,False,False,0,2,3,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,,,False,True,2,13,24.0,9.0,4.0,,,,,,,,,,,,,,,,,,,,12
True,False,False,False,False,False,False,False,False,False,True,False,False,True,2,1,0,False,False,True,False,False,1,1,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,,2.0,False,True,5,10,35.0,9.0,7.0,,,,,,,,,,,,,,,,,,,,7
True,False,False,False,False,False,False,False,False,False,True,False,True,False,3,0,1,False,False,True,False,False,1,1,3,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,True,,,False,True,2,8,31.0,13.0,5.0,,,,,,,,,,,,,,,,,,,,8
True,False,False,False,False,False,False,False,False,False,True,False,True,False,3,0,0,False,True,False,False,False,0,1,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,True,False,,,True,False,1,4,25.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,5
True,False,False,False,False,False,False,False,False,False,True,False,True,False,2,3,3,False,False,True,False,False,1,2,3,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,True,False,,,True,False,2,10,24.0,4.0,9.0,,,,,,,,,,,,,,,,,,,,5
True,False,False,False,False,False,False,False,False,False,True,False,True,False,2,0,3,False,False,True,False,False,0,0,3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,True,False,,1.0,False,True,2,3,25.0,6.0,0.0,,,,,,,,,,,,,,,,,,,,7
True,False,False,False,False,False,False,False,False,False,True,False,True,False,2,0,3,False,False,True,False,False,1,2,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,,1.0,False,True,4,13,24.0,8.0,21.0,,,,,,,,,,,,,,,,,,,,18
True,False,False,False,False,False,False,False,False,False,True,False,False,True,2,0,2,False,False,True,False,False,1,2,3,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,True,,,True,False,1,8,26.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,7
True,False,False,False,False,False,False,False,False,False,True,False,True,False,2,0,2,False,False,True,False,False,1,1,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,,2.0,True,False,1,19,25.0,18.0,21.0,,,,,,,,,,,,,,,,,,,,8
True,False,False,False,False,False,False,False,False,False,True,False,False,True,1,0,0,False,False,True,False,False,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,True,False,,,False,True,1,6,23.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,8
True,False,False,False,False,False,False,False,False,False,True,False,True,False,2,0,2,False,False,True,False,False,1,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,,1.0,False,True,1,2,21.0,4.0,7.0,,,,,,,,,,,,,,,,,,,,4
True,False,False,False,False,False,False,False,False,False,True,False,True,False,2,0,1,False,False,True,False,False,1,1,3,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,,1.0,False,True,2,16,27.0,7.0,6.0,,,,,,,,,,,,,,,,,,,,6
False,False,False,False,False,False,False,True,False,False,True,False,False,True,0,0,0,False,False,True,False,False,0,3,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,,,True,False,1,12,16.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,3
True,False,False,False,False,False,False,False,False,False,True,False,True,False,3,1,1,False,False,True,False,False,2,2,3,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,True,,1.0,False,True,2,12,28.0,7.0,8.0,,,,,,,,,,,,,,,,,,,,6
True,False,False,False,False,False,False,False,False,False,True,False,False,True,0,0,0,True,False,False,False,False,0,0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,,,True,False,1,6,36.0,5.0,4.0,,,,,,,,,,,,,,,,,,,,5
True,False,False,False,False,False,False,False,False,False,True,False,False,True,0,0,1,False,False,True,False,False,1,0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,,2.0,False,True,2,10,19.0,4.0,6.0,,,,,,,,,,,,,,,,,,,,10
True,False,False,False,False,False,False,False,False,False,True,False,True,False,1,1,2,False,False,True,False,False,1,2,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,True,2.0,2.0,False,True,2,18,22.0,25.0,21.0,,,,,,,,,,,,,,,,,,,,14
True,False,False,False,False,False,False,False,False,False,True,False,True,False,2,0,3,False,False,True,False,False,1,2,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,,,False,True,2,3,24.0,8.0,3.0,,,,,,,,,,,,,,,,,,,,7
True,False,False,False,False,False,False,False,False,False,True,False,True,False,3,2,2,False,False,True,False,False,1,2,3,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,True,False,2.0,,True,False,1,6,34.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,8
True,False,False,False,False,False,False,False,False,False,True,False,False,True,2,3,2,False,False,True,False,False,1,1,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False,,,False,True,2,12,32.0,6.0,2.0,,,,,,,,,,,,,,,,,,,,10
True,False,False,False,False,False,False,False,False,False,True,False,False,True,2,3,2,False,False,True,False,False,1,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,,,False,True,2,11,28.0,8.0,7.0,,,,,,,,,,,,,,,,,,,,4
True,False,False,False,False,False,False,False,False,False,True,False,True,False,2,2,1,False,False,True,False,False,1,3,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,,,True,False,1,11,29.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,7
True,False,False,False,False,False,False,False,False,False,True,False,True,False,2,0,3,False,False,True,False,False,1,2,3,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,,1.0,False,True,1,3,27.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,5
True,False,False,False,False,False,False,False,False,False,True,False,True,False,2,2,2,False,False,True,False,False,0,1,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,,,True,False,1,16,28.0,19.0,11.0,,,,,,,,,,,,,,,,,,,,5
True,False,False,False,False,False,False,False,False,False,True,False,True,False,2,0,3,False,False,True,False,False,1,1,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,True,,,True,False,1,7,27.0,2.0,6.0,,,,,,,,,,,,,,,,,,,,6
True,False,False,False,False,False,False,False,True,False,False,False,True,False,2,1,1,False,True,False,False,False,1,1,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,,,False,True,2,13,23.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,5
True,False,False,False,False,False,False,False,False,False,True,False,False,True,1,1,1,False,False,True,False,False,0,1,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,,,False,True,5,6,23.0,6.0,0.0,,,,,,,,,,,,,,,,,,,,3
True,False,False,False,False,False,False,False,False,False,False,True,False,True,1,1,1,False,False,False,True,False,1,1,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,,,False,True,1,9,17.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,7
True,False,False,False,False,False,False,False,False,False,True,False,True,False,2,0,2,False,False,True,False,False,1,2,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,,1.0,False,True,1,6,29.0,5.0,7.0,,,,,,,,,,,,,,,,,,,,7
True,False,False,False,False,False,False,False,False,False,True,False,True,False,3,0,0,False,False,True,False,False,3,3,3,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,True,False,,2.0,True,False,2,6,36.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1
True,False,False,False,False,False,False,False,False,False,True,False,True,False,3,0,2,False,False,False,False,True,1,1,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,True,,1.0,True,False,2,11,23.0,3.0,6.0,,,,,,,,,,,,,,,,,,,,5
True,False,False,False,False,False,False,False,False,False,True,False,True,False,2,0,1,False,True,False,False,False,1,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,True,False,,,False,True,2,11,25.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,7
True,False,False,False,False,False,False,False,False,False,True,False,False,True,0,1,0,False,False,True,False,False,0,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,,1.0,False,True,2,6,18.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1
True,False,False,False,False,False,False,False,False,False,True,False,False,True,1,0,0,True,False,False,False,False,1,1,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,,1.0,False,True,2,8,17.0,12.0,2.0,,,,,,,,,,,,,,,,,,,,5
False,False,True,False,False,False,False,False,False,False,True,False,True,False,2,0,3,False,False,True,False,False,1,1,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,,1.0,False,True,2,14,26.0,5.0,3.0,,,,,,,,,,,,,,,,,,,,8
True,False,False,False,False,False,False,False,False,False,True,False,False,True,1,1,1,False,False,True,False,False,1,0,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,,2.0,False,True,5,1,18.0,5.0,0.0,,,,,,,,,,,,,,,,,,,,6
True,False,False,False,False,False,False,False,False,False,True,False,True,False,1,0,1,False,False,True,False,False,1,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,True,False,,,False,True,2,12,26.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,7
True,False,False,False,False,False,False,False,False,False,True,False,False,True,0,2,1,True,False,False,False,False,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,,1.0,False,True,2,16,17.0,7.0,5.0,,,,,,,,,,,,,,,,,,,,5
True,False,False,False,False,False,False,False,False,False,True,False,False,True,1,1,1,False,False,True,False,False,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,,,False,True,2,8,14.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,3
False,False,False,False,False,False,False,True,False,False,True,False,True,False,1,1,1,False,False,True,False,False,0,3,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,,,True,False,1,12,18.0,9.0,5.0,,,,,,,,,,,,,,,,,,,,4
True,False,False,False,False,False,False,False,False,False,True,False,False,True,3,0,1,False,False,True,False,False,1,2,3,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,True,False,,,True,False,2,4,27.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,6
True,False,False,False,False,False,False,False,False,False,True,False,True,False,2,0,1,False,False,True,False,False,1,1,3,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,,,False,True,5,5,24.0,6.0,5.0,,,,,,,,,,,,,,,,,,,,12
True,False,False,False,False,False,False,False,False,False,True,False,True,False,1,3,3,False,False,False,False,True,0,0,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,True,,1.0,False,True,2,8,27.0,10.0,11.0,,,,,,,,,,,,,,,,,,,,7
True,False,False,False,False,False,False,False,False,True,False,False,True,False,2,0,1,True,False,False,False,False,0,1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,,,False,True,1,16,49.0,8.0,10.0,,,,,,,,,,,,,,,,,,,,6
True,False,False,False,False,False,False,False,False,False,True,False,True,False,2,0,0,False,False,True,False,False,0,2,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,,1.0,True,False,1,12,20.0,18.0,6.0,,,,,,,,,,,,,,,,,,,,4
True,False,False,False,False,False,False,False,False,False,True,False,False,True,3,0,1,False,False,True,False,False,0,2,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,,,False,True,5,10,27.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,6
True,False,False,False,False,False,False,False,False,False,True,False,True,False,2,0,1,False,False,True,False,False,1,2,3,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,,,False,True,2,19,24.0,15.0,13.0,,,,,,,,,,,,,,,,,,,,13
True,False,False,False,False,False,False,False,False,False,True,False,False,True,3,0,2,False,False,True,False,False,2,2,3,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,True,2.0,1.0,False,True,2,12,25.0,9.0,7.0,,,,,,,,,,,,,,,,,,,,17
True,False,False,False,False,False,False,False,False,False,True,False,False,True,1,3,1,False,False,False,False,True,1,2,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,,,False,True,2,12,25.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,10
True,False,False,False,False,False,False,False,False,False,True,False,False,True,1,0,0,False,True,False,False,False,1,2,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,,1.0,False,True,2,14,25.0,0.0,21.0,,,,,,,,,,,,,,,,,,,,17
True,False,False,False,False,False,False,False,False,True,False,False,True,False,3,0,1,False,False,True,False,False,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,True,False,2.0,1.0,True,False,2,14,25.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,13
True,False,False,False,False,False,False,False,False,False,True,False,True,False,3,0,1,False,False,False,False,True,1,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,True,False,,,False,True,2,2,25.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,1
